"cluster","markerGene"
"Astro_L1_2_FGFR3_GFAP","MT1F"
"Astro_L1_2_FGFR3_GFAP","ID3"
"Astro_L1_6_FGFR3_SLC14A1","LOC105376917"
"Astro_L1_6_FGFR3_SLC14A1","SLC1A3"
"Endo_L2_6_NOSTRIN","EMCN"
"Exc_L2_3_LINC00507_FREM3","PALMD"
"Exc_L2_3_LINC00507_FREM3","CUX2"
"Exc_L2_4_LINC00507_GLP2R","PENK"
"Exc_L2_4_LINC00507_GLP2R","CALCRL"
"Exc_L2_4_LINC00507_GLP2R","MOXD1"
"Exc_L2_LAMP5_LTK","LINC01500"
"Exc_L2_LAMP5_LTK","CBLN2"
"Exc_L3_4_RORB_CARM1P1","CCDC68"
"Exc_L3_4_RORB_CARM1P1","CARM1P1"
"Exc_L3_4_RORB_CARM1P1","PRSS12"
"Exc_L3_5_RORB_COL22A1","RMST"
"Exc_L3_5_RORB_COL22A1","MME"
"Exc_L3_5_RORB_ESR1","ANXA1"
"Exc_L3_5_RORB_ESR1","LOC105371677"
"Exc_L3_5_RORB_FILIP1L","CUX2"
"Exc_L3_5_RORB_FILIP1L","NTNG1"
"Exc_L3_5_RORB_FILIP1L","COL5A2"
"Exc_L3_5_RORB_FILIP1L","LOC101928196"
"Exc_L3_5_RORB_TWIST2","TWIST2"
"Exc_L3_5_RORB_TWIST2","LOC101927281"
"Exc_L3_5_RORB_TWIST2","CCDC168"
"Exc_L4_5_FEZF2_SCN4B","LOC105376457"
"Exc_L4_5_FEZF2_SCN4B","LOC105378657"
"Exc_L4_5_RORB_DAPK2","LINC01179"
"Exc_L4_5_RORB_DAPK2","BARX2"
"Exc_L4_5_RORB_DAPK2","LOC105374971"
"Exc_L4_5_RORB_FOLH1B","LOC101927835"
"Exc_L4_5_RORB_FOLH1B","RBM20"
"Exc_L4_5_RORB_FOLH1B","NPY2R"
"Exc_L4_6_FEZF2_IL26","IFNG_AS1"
"Exc_L4_6_FEZF2_IL26","IL26"
"Exc_L4_6_RORB_C1R","ITGA11"
"Exc_L4_6_RORB_C1R","PKD2L1"
"Exc_L4_6_RORB_C1R","MEGF10"
"Exc_L4_6_RORB_SEMA3E","RPRM"
"Exc_L4_6_RORB_SEMA3E","LOC101928622"
"Exc_L5_6_FEZF2_ABO","SULF1"
"Exc_L5_6_FEZF2_ABO","ADAMTSL1"
"Exc_L5_6_FEZF2_EFTUD1P1","NPFFR2"
"Exc_L5_6_FEZF2_EFTUD1P1","LOC105377183"
"Exc_L5_6_RORB_TTC12","TNNT2"
"Exc_L5_6_RORB_TTC12","LOC105371833"
"Exc_L5_6_RORB_TTC12","NPFFR2"
"Exc_L5_6_SLC17A7_IL15","NR4A2"
"Exc_L5_6_SLC17A7_IL15","NPNT"
"Exc_L5_6_SLC17A7_IL15","ERG"
"Exc_L5_6_THEMIS_C1QL3","LINC00343"
"Exc_L5_6_THEMIS_C1QL3","PXDN"
"Exc_L5_6_THEMIS_C1QL3","THEMIS"
"Exc_L5_6_THEMIS_CRABP1","OLFML2B"
"Exc_L5_6_THEMIS_CRABP1","SNTB1"
"Exc_L5_6_THEMIS_DCSTAMP","LOC101928196"
"Exc_L5_6_THEMIS_DCSTAMP","LOC105378486"
"Exc_L5_6_THEMIS_FGF10","LOC101928964"
"Exc_L5_6_THEMIS_FGF10","GAS2L3"
"Exc_L6_FEZF2_OR2T8","SLC15A5"
"Exc_L6_FEZF2_OR2T8","IGFBP3"
"Exc_L6_FEZF2_OR2T8","SLITRK6"
"Exc_L6_FEZF2_OR2T8","PCOLCE2"
"Exc_L6_FEZF2_SCUBE1","LOC105379054"
"Exc_L6_FEZF2_SCUBE1","PIK3C2G"
"Inh_L1_2_GAD1_MC4R","ARHGAP36"
"Inh_L1_2_GAD1_MC4R","ADAM33"
"Inh_L1_2_LAMP5_DBP","CPLX3"
"Inh_L1_2_LAMP5_DBP","CBLN4"
"Inh_L1_2_PAX6_CDH12","TGFBR2"
"Inh_L1_2_PAX6_CDH12","LOC101927870"
